geo,country_name,year,size_class,size_label,value
PT,Portugal,2020,10-49,Small (10-49 employees),6.82
PT,Portugal,2020,50-249,Medium (50-249 employees),19.01
PT,Portugal,2020,GE250,Large (250+ employees),27.94
PT,Portugal,2022,10-49,Small (10-49 employees),5.9
PT,Portugal,2022,50-249,Medium (50-249 employees),15.28
PT,Portugal,2022,GE250,Large (250+ employees),26.6
RO,Romania,2018,10-49,Small (10-49 employees),1.68
RO,Romania,2018,50-249,Medium (50-249 employees),4.75
RO,Romania,2018,GE250,Large (250+ employees),13.91
RO,Romania,2020,10-49,Small (10-49 employees),2.94
RO,Romania,2020,50-249,Medium (50-249 employees),5.41
RO,Romania,2020,GE250,Large (250+ employees),13.14
RO,Romania,2022,10-49,Small (10-49 employees),1.73
RO,Romania,2022,50-249,Medium (50-249 employees),4.57
RO,Romania,2022,GE250,Large (250+ employees),12.86
RS,Serbia,2020,10-49,Small (10-49 employees),1.46
RS,Serbia,2020,50-249,Medium (50-249 employees),8.43
RS,Serbia,2020,GE250,Large (250+ employees),17.67
RS,Serbia,2022,10-49,Small (10-49 employees),1.63
RS,Serbia,2022,50-249,Medium (50-249 employees),7.27
RS,Serbia,2022,GE250,Large (250+ employees),16.38
SE,Sweden,2018,10-49,Small (10-49 employees),5.11
SE,Sweden,2018,50-249,Medium (50-249 employees),16.55
SE,Sweden,2018,GE250,Large (250+ employees),31.9
SE,Sweden,2020,10-49,Small (10-49 employees),3.83
SE,Sweden,2020,50-249,Medium (50-249 employees),12.25
SE,Sweden,2020,GE250,Large (250+ employees),28.65
SE,Sweden,2022,10-49,Small (10-49 employees),4.88
SE,Sweden,2022,50-249,Medium (50-249 employees),13.3
SE,Sweden,2022,GE250,Large (250+ employees),31.04
SI,Slovenia,2018,10-49,Small (10-49 employees),3.52
SI,Slovenia,2018,50-249,Medium (50-249 employees),15.99
SI,Slovenia,2018,GE250,Large (250+ employees),33.84
SI,Slovenia,2020,10-49,Small (10-49 employees),5.02
SI,Slovenia,2020,50-249,Medium (50-249 employees),18.8
SI,Slovenia,2020,GE250,Large (250+ employees),41.21
SI,Slovenia,2022,10-49,Small (10-49 employees),3.46
SI,Slovenia,2022,50-249,Medium (50-249 employees),16.46
SI,Slovenia,2022,GE250,Large (250+ employees),43.23
SK,Slovakia,2018,10-49,Small (10-49 employees),2.98
SK,Slovakia,2018,50-249,Medium (50-249 employees),10.8
SK,Slovakia,2018,GE250,Large (250+ employees),29.05
SK,Slovakia,2020,10-49,Small (10-49 employees),4.01
SK,Slovakia,2020,50-249,Medium (50-249 employees),17.34
SK,Slovakia,2020,GE250,Large (250+ employees),32.48
SK,Slovakia,2022,10-49,Small (10-49 employees),4.2
SK,Slovakia,2022,50-249,Medium (50-249 employees),12.62
SK,Slovakia,2022,GE250,Large (250+ employees),31.16
TR,Turkey,2020,10-49,Small (10-49 employees),3.94
TR,Turkey,2020,50-249,Medium (50-249 employees),9.37
TR,Turkey,2020,GE250,Large (250+ employees),19.57
TR,Turkey,2022,10-49,Small (10-49 employees),4.08
TR,Turkey,2022,50-249,Medium (50-249 employees),8.59
TR,Turkey,2022,GE250,Large (250+ employees),24.14
UK,United Kingdom,2020,10-49,Small (10-49 employees),1.44
UK,United Kingdom,2020,50-249,Medium (50-249 employees),4.49
UK,United Kingdom,2020,GE250,Large (250+ employees),12.13
EU27_2020,EU27,2018,10-49,Small (10-49 employees),5.18
EU27_2020,EU27,2018,50-249,Medium (50-249 employees),12.11
EU27_2020,EU27,2018,GE250,Large (250+ employees),24.77
EU27_2020,EU27,2020,10-49,Small (10-49 employees),5.13
EU27_2020,EU27,2020,50-249,Medium (50-249 employees),13.16
EU27_2020,EU27,2020,GE250,Large (250+ employees),28.18
EU27_2020,EU27,2022,10-49,Small (10-49 employees),4.59
EU27_2020,EU27,2022,50-249,Medium (50-249 employees),11.98
EU27_2020,EU27,2022,GE250,Large (250+ employees),25.84
